" Consulta de Coyuntura Económica"
"Datos de: MES=12-2022, 12-2021, 12-2020, 12-2019, 12-2018, 12-2017, 12-2016, 12-2015, 11-2022, 11-2021, 11-2020, 11-2019, 11-2018, 11-2017, 11-2016, 11-2015, 10-2022, 10-2021, 10-2020, 10-2019, 10-2018, 10-2017, 10-2016, 10-2015, 09-2022, 09-2021, 09-2020, 09-2019, 09-2018, 09-2017, 09-2016, 09-2015, 08-2022, 08-2021, 08-2020, 08-2019, 08-2018, 08-2017, 08-2016, 08-2015, 07-2022, 07-2021, 07-2020, 07-2019, 07-2018, 07-2017, 07-2016, 07-2015, 06-2022, 06-2021, 06-2020, 06-2019, 06-2018, 06-2017, 06-2016, 06-2015, 05-2022, 05-2021, 05-2020, 05-2019, 05-2018, 05-2017, 05-2016, 05-2015, 04-2022, 04-2021, 04-2020, 04-2019, 04-2018, 04-2017, 04-2016, 04-2015, 03-2022, 03-2021, 03-2020, 03-2019, 03-2018, 03-2017, 03-2016, 03-2015, 02-2022, 02-2021, 02-2020, 02-2019, 02-2018, 02-2017, 02-2016, 02-2015, 01-2023, 01-2022, 01-2021, 01-2020, 01-2019, 01-2018, 01-2017, 01-2016, 01-2015 COMUNIDAD AUTONOMA=CASTILLA Y LEON, ESPAÑA SERIE=PRECIOS - INDICE PRECIOS CONSUMO (IPC) - BASE 2021 - ÍNDICE GENERAL"
"COMUNIDAD AUTONOMA","CASTILLA Y LEON","ESPAÑA",
"SERIE","PRECIOS - INDICE PRECIOS CONSUMO (IPC) - BASE 2021 - ÍNDICE GENERAL","PRECIOS - INDICE PRECIOS CONSUMO (IPC) - BASE 2021 - ÍNDICE GENERAL",
"UNIDAD DE MEDIDA","-",,
,VALOR,VALOR,
MES,Sum,Sum,
"01-2015",      91.816,      92.141,
"02-2015",      91.923,      92.331,
"03-2015",      92.509,       92.92,
"04-2015",      93.352,      93.774,
"05-2015",      93.857,      94.222,
"06-2015",      94.193,      94.474,
"07-2015",      93.258,      93.597,
"08-2015",      92.884,      93.286,
"09-2015",      92.671,      92.999,
"10-2015",      93.313,      93.595,
"11-2015",      93.714,      93.937,
"12-2015",      93.418,      93.663,
"01-2016",      91.292,      91.876,
"02-2016",      90.861,      91.552,
"03-2016",      91.534,      92.139,
"04-2016",      92.103,      92.785,
"05-2016",      92.662,      93.292,
"06-2016",      93.133,      93.723,
"07-2016",      92.411,      93.041,
"08-2016",      92.547,      93.161,
"09-2016",      92.816,      93.165,
"10-2016",      94.024,       94.23,
"11-2016",      94.328,      94.572,
"12-2016",      94.908,      95.132,
"01-2017",      94.367,      94.609,
"02-2017",      94.087,      94.269,
"03-2017",      93.939,      94.249,
"04-2017",      94.724,      95.154,
"05-2017",      94.708,      95.097,
"06-2017",      94.719,      95.138,
"07-2017",      93.965,      94.482,
"08-2017",       94.15,       94.67,
"09-2017",       94.42,      94.835,
"10-2017",      95.443,       95.71,
"11-2017",      95.899,      96.147,
"12-2017",        95.9,       96.19,
"01-2018",      94.852,      95.153,
"02-2018",      94.858,      95.281,
"03-2018",      94.914,      95.393,
"04-2018",      95.718,      96.181,
"05-2018",      96.664,      97.048,
"06-2018",      97.017,      97.302,
"07-2018",      96.252,      96.604,
"08-2018",      96.387,      96.742,
"09-2018",      96.856,      96.978,
"10-2018",      97.835,      97.875,
"11-2018",      97.607,      97.768,
"12-2018",      97.042,      97.329,
"01-2019",      95.931,      96.085,
"02-2019",      96.072,       96.32,
"03-2019",      96.446,      96.669,
"04-2019",      97.471,      97.644,
"05-2019",      97.698,      97.834,
"06-2019",      97.506,      97.719,
"07-2019",      96.926,      97.113,
"08-2019",       96.76,      97.059,
"09-2019",      96.928,      97.059,
"10-2019",      97.939,      98.001,
"11-2019",       98.05,      98.167,
"12-2019",       97.98,      98.096,
"01-2020",      96.981,      97.139,
"02-2020",      96.769,      97.024,
"03-2020",      96.229,      96.652,
"04-2020",       96.39,      96.944,
"05-2020",       96.37,      96.938,
"06-2020",      96.843,      97.385,
"07-2020",      96.024,      96.511,
"08-2020",      96.082,      96.555,
"09-2020",      96.319,        96.7,
"10-2020",      96.898,      97.208,
"11-2020",      97.062,      97.367,
"12-2020",      97.295,      97.574,
"01-2021",      97.378,      97.583,
"02-2021",      96.671,      97.008,
"03-2021",      97.633,      97.949,
"04-2021",      98.824,      99.105,
"05-2021",      99.429,      99.572,
"06-2021",      100.01,     100.046,
"07-2021",      99.371,      99.292,
"08-2021",      99.718,      99.743,
"09-2021",      100.68,     100.575,
"10-2021",     102.775,     102.425,
"11-2021",     103.096,     102.738,
"12-2021",     104.415,     103.965,
"01-2022",     103.938,     103.567,
"02-2022",     104.877,     104.403,
"03-2022",     108.377,     107.566,
"04-2022",     108.354,     107.375,
"05-2022",      109.32,     108.262,
"06-2022",      111.62,     110.267,
"07-2022",     111.322,     109.986,
"08-2022",     111.436,     110.265,
"09-2022",     110.723,     109.498,
"10-2022",     111.103,     109.866,
"11-2022",     111.149,     109.734,
"12-2022",     111.252,     109.899,

